year,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,Td dew point,WS,WD,WSGust,WDGust,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax60,Precp1DayMax,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,Cloud Amount
2013,6,1005.3,1006,1012.3,998.5,29.2,36.7,22.9,22.8,1.8,90,19,280,203.1,48.5,15,28.5,56.5,68.5,69,106.7,107.9,529.67,7,10,7.3
2013,7,1007,1007.7,1012.7,956.4,29.5,37.9,24.2,22.8,1.7,160,33.8,50,240.5,42,11,14.5,29.5,63.5,68,129,156.7,604.21,8,10,6
2014,1,1021.1,1021.9,1030.5,1011.3,16.8,26.8,10.3,9.3,2.3,80,14.5,110,21.8,49.8,5,2.5,4.5,11.5,62,61.9,144.5,313.17,3,5,5.3
2014,2,1017.7,1018.5,1028.7,1007,16.5,27.5,7.8,11.1,2,80,13.8,80,198,199.1,14,2.5,6.5,84.5,71,41.4,81.2,243.95,3,6,7.5
2014,3,1017.5,1018.3,1025.6,1005.5,18.9,32.3,11.8,13.6,2.3,80,14.1,100,147,131.2,14,7,18,21.5,72,76.6,66.9,286.31,3,7,7.8
2014,4,1013.4,1014.2,1020.7,1007.7,22.5,33.3,16.7,18,2.4,80,14.4,70,98.1,80.4,12,8.5,17.5,35,77,80.7,99.5,388.88,5,9,7
2014,5,1009.6,1010.4,1019.8,999.9,25.2,35.6,15.1,21.4,1.7,80,17.4,280,634.7,174.2,21,16,71,242,81,54,45.9,320.54,5,10,8.4
2014,6,1004,1004.7,1010.1,998.7,28,36.3,23.1,23.3,1.7,80,14.2,270,384.4,96.4,20,19,36,79.5,76,76.7,57.4,363.11,6,9,7.8
2014,7,1004.5,1005.2,1011.3,987.7,30.5,37.8,24.4,23.9,2.1,70,26.5,90,222.1,55.4,9,17,33,54.5,68,137.4,178.3,609.31,9,12,5.1
2015,1,1018.7,1022.4,1027.1,1010.3,16.7,24.8,10.3,10.3,2.8,80,15,70,20,51.2,6,1,3.5,10,67,56.5,95.7,261.66,3,5,6.9
2015,2,1016.8,1020.4,1026,1008.6,17.3,27.6,9.8,12,2.3,80,14.6,60,90,77.9,11,8.5,21,55.5,72,58,78.9,270.66,4,7,7.7
2015,3,1015.5,1019.1,1026,1005.4,18.9,31.7,11.4,15.4,2.3,80,14.5,70,182,159.2,13,3.5,9.5,48.5,80,58.3,89.3,281.66,4,7,7.8
2015,4,1011.2,1014.7,1019.9,1000.3,22.7,34.5,13.6,17.9,2.3,80,17.6,80,87.6,82.9,10,4.7,9.7,21.2,75,91.5,112.9,446.99,6,9,7.1
2015,5,1006.1,1009.5,1012.1,998.3,26.1,36.5,18.1,21.8,1.7,80,14.4,80,302.8,148.8,18,9,38.6,61.9,78,87.3,82.1,376.46,6,10,7.8
2015,6,1004.3,1007.8,1008.2,998.4,30,37.1,24.5,24.5,1.5,160,15.5,120,248.3,38.5,9,23.5,54,65.8,73,128.2,146.9,557.45,8,9,6.4
2015,7,1001.2,1004.6,1010,986.9,30,37.5,24.2,24.1,2,80,19,350,316.8,55.7,13,22.5,53,91,72,147.1,169.4,606.46,8,11,5.8
2016,1,1017.8,1021.5,1033.5,1004.4,16.2,24.5,4,13.4,2.1,60,15.5,70,256,227.3,20,4.1,13.5,36.5,84,35.4,27.1,149.47,2,5,9.1
2016,2,1019.4,1023.1,1028.6,1006.8,15.5,30.5,6.1,11.7,2.2,60,15.8,70,78.9,232.9,17,2,4.5,14,80,42.7,80.1,206.73,3,6,7.8
2016,3,1015.1,1018.7,1025.9,1005.6,17.5,29.4,9.4,12.7,2,60,15.2,60,285.7,245.4,19,10.5,15.5,45,75,50.9,90.3,286.97,3,7,8
